variable,reference,lat,lon,mat,map,ph_soil,species,family,genus,photopathway,legume,managed,growthform,functionaltype,broadleaf_conifer,evergreen_deciduous,ninorg_form,ndep_kg_ha_yr,duration_yr,load,value_t,value_c,n_t,n_c,sd_t,sd_c,ln_rr,v,w,cluster,w_dash,,,,,,,,,,,,,,,,
Aarea,Campbell-2010-American Journal of Botany,38.57N,107.04W,2.5,384,7.2,Ipomopsis aggregata × Ipomopsis tenuituba,Polemoniaceae,Ipomopsis,C3,non-legumes,Managed,Herb,Forb,NA,NA,Other,100,1,100,18.83,15.94,8,8,12.01,4.63,0.16647,0.06141,16.28325,19,8.141625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aarea,Campbell-2010-American Journal of Botany,38.57N,107.04W,2.5,384,7.2,Ipomopsis tenuituba,Polemoniaceae,Ipomopsis,C3,non-legumes,Managed,Herb,Forb,NA,NA,NH4NO3,100,1,100,23.17,23.17,8,8,6.17,6.17,0,0.01773,56.39066,20,28.19533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aarea,Campbell-2010-American Journal of Botany,38.57N,107.04W,2.5,384,7.2,Ipomopsis tenuituba,Polemoniaceae,Ipomopsis,C3,non-legumes,Managed,Herb,Forb,NA,NA,Other,100,1,100,17.24,12.91,8,8,10.04,6.4,0.28931,0.07308,13.68451,20,6.842255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aarea,Chen-2005-Environmental and Experimental Botany,43.63N,116.7E,0.3,340,7.5,Leymus chinensis,Poaceae,Leymus,C3,non-legumes,Natural,Herb,Grass,NA,NA,NH4NO3,175,3,525,14.449604,13.003096,3,3,1.86895,1.472203,0.10548,0.00985,101.52913,21,25.3822825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aarea,Chen-2005-Environmental and Experimental Botany,43.63N,116.7E,0.3,340,7.5,Leymus chinensis,Poaceae,Leymus,C3,non-legumes,Natural,Herb,Grass,NA,NA,NH4NO3,105,3,315,15.307844,13.003096,3,3,3.339576,1.472203,0.16318,0.02014,49.65827,21,12.4145675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aarea,Chen-2005-Environmental and Experimental Botany,43.63N,116.7E,0.3,340,7.5,Leymus chinensis,Poaceae,Leymus,C3,non-legumes,Natural,Herb,Grass,NA,NA,NH4NO3,280,3,840,15.487228,13.003096,3,3,2.321656,1.472203,0.17483,0.01176,85.00752,21,21.25188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aarea,Chen-2005-Environmental and Experimental Botany,43.63N,116.7E,0.3,340,7.5,Leymus chinensis,Poaceae,Leymus,C3,non-legumes,Natural,Herb,Grass,NA,NA,NH4NO3,53,3,159,15.903971,13.003096,3,3,1.244799,1.472203,0.20138,0.00631,158.3549,21,39.588725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aarea,Chen-2005-Environmental and Experimental Botany,43.63N,116.7E,0.3,340,7.5,Stipa grandis,Poaceae,Stipa,C3,non-legumes,Natural,Herb,Grass,NA,NA,NH4NO3,280,3,840,3.589814,5.386491,3,3,1.640726,2.321656,-0.40579,0.13156,7.60131,22,1.9003275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aarea,Chen-2005-Environmental and Experimental Botany,43.63N,116.7E,0.3,340,7.5,Stipa grandis,Poaceae,Stipa,C3,non-legumes,Natural,Herb,Grass,NA,NA,NH4NO3,175,3,525,3.892093,5.386491,3,3,1.132117,2.321656,-0.32495,0.09013,11.09539,22,2.7738475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aarea,Chen-2005-Environmental and Experimental Botany,43.63N,116.7E,0.3,340,7.5,Stipa grandis,Poaceae,Stipa,C3,non-legumes,Natural,Herb,Grass,NA,NA,NH4NO3,53,3,159,6.325975,5.386491,3,3,1.867839,2.321656,0.16077,0.09099,10.99082,22,2.747705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
